ID|Name|Longtitude|Latitude|Address|GoogleMap|LocType
101|Bánh canh cá lóc Em Tôi|10.848136382929315|106.7670616972538|43 Bác Ái, Bình Thọ, Thủ Đức, Thành phố Hồ Chí Minh 720300, Việt Nam|TYGHsYErzaf2GMeb9|QA
102|Nhà hàng vua vịt trời Quận 9|10.806790629917995|106.78370418809185|260 Đ. Liên Phường, Phước Long B, Quận 9, Thành phố Hồ Chí Minh, Việt Nam|ozL1T7ZLmBTUKBPh6|QA
103|Bún bò Huế Ngọc Dung|10.874179116077416|106.8151591972538|504-506 Hoàng Hữu Nam, Long Bình, Quận 9, Thành phố Hồ Chí Minh, Việt Nam|99fsTZhMPsp317mo8|QA
104|Lẩu mắm Phong Lan|10.814585049582279|106.83570275307544|26 Long Thuận, Trường Thạnh, Quận 9, Thành phố Hồ Chí Minh, Việt Nam|yrvDzN3YekK3ZqBV7|QA
105|Bò Tơ Tây Ninh Năm Sánh Quyết Thắng QTV 01|10.856709938856692|106.81342391074689|149 Hoàng Hữu Nam, P, Quận 9, Thành phố Hồ Chí Minh, Việt Nam|iKuf6TLWfcAPw8qF6|QA
106|Bánh mì chim cút|10.848028853744793|106.77513374180674|Số 2 Trần Hưng Đạo, Hiệp Phú, Quận 9, Thành phố Hồ Chí Minh, Việt Nam|cxZpmzNiFN6DLDjw7|QA
107|Viking Steak|10.84227005201481|106.7637220819111|58 Đặng Văn Bi, Bình Thọ, Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam|U2ELmAEnuTFoAHTk8|QA
108|Quán cháo nghêu, bánh đúc|10.861303138301533|106.74643098191132|Số 14 Đường số 4, Tam Phú, Thủ Đức, Thành phố Hồ Chí Minh|TCx1k9ca5JsKZ74n7|QA
109|Quán cháo cá Miền Tây 2|10.841797618730713|106.76801656340675|7 Đ. Nguyễn Văn Bá, Phước Long B, Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam|cpS8YDGTtMR3dddb9|QA
110|Quán Hủ Tiếu Nhã Vân|10.755127830306202|106.67422187352997|534 Phan Văn Trị, Phường 7, Quận 5, Thành phố Hồ Chí Minh, Việt Nam|YB5Xm8vC6AafeGBA7|QA
111|Gà nướng muối ớt Nguyễn Thượng Hiền|10.770985295285323|106.6859657519264|31 Nguyễn Thượng Hiền, Phường 4, Quận 3, Thành phố Hồ Chí Minh 700000, Việt Nam|7vPThwWUs4dzacoX6|QA
112|Cà ri dê Musa Ấn Độ|10.759498659245953|106.67423600174149|001 Lô B Chung Cư Sư Vạn Hạnh, Phường 09, Quận 5, Hồ Chí Minh|FEbQeP2xGmRnGs7t7|QA
113|Quán 94 Chả Giò Cua Biển|10.792184045452492|106.69867775083061|12 Phan Kế Bính, Đa Kao, Quận 1, Thành phố Hồ Chí Minh, Việt Nam|VphTKE2V8Bm5WmFb9|QA
